"YearStart","YearEnd","LocationAbbr","LocationDesc","Datasource","Class","Topic","Question","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Alt","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit ","Sample_Size","Total","Age(months)","Sex","Race/Ethnicity","GeoLocation","ClassID","TopicID","QuestionID","DataValueTypeID","LocationID","StratificationCategory1","Stratification1","StratificationCategoryId1","StratificationID1"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.5","14.5",,,"13.8","15.2","10,349",,"24 - 35",,,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Age (months)","24 - 35","AGEMO","AGEMO2435"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.0","15.0",,,"14.2","15.7","8,691",,"36 - 47",,,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Age (months)","36 - 47","AGEMO","AGEMO3647"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.6","15.6",,,"14.7","16.6","5,963",,"48 - 59",,,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Age (months)","48 - 59","AGEMO","AGEMO4859"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","13.2","13.2",,,"8.8","17.7","227",,,,"American Indian/Alaska Native","    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Race/Ethnicity","American Indian/Alaska Native","RACE","RACENAA"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","13.8","13.8",,,"9.5","18.2","246",,,,"Asian/Pacific Islander","    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Race/Ethnicity","Asian/Pacific Islander","RACE","RACEAPI"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.9","14.9",,,"14.3","15.5","12,306",,,"Female",,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Sex","Female","SEX","FEMALE"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.8","17.8",,,"16.7","18.8","5,154",,,,"Hispanic","    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Race/Ethnicity","Hispanic","RACE","RACEHIS"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","15.0","15.0",,,"14.4","15.6","12,697",,,"Male",,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Sex","Male","SEX","MALE"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","13.2","13.2",,,"12.3","14.0","5,931",,,,"Non-Hispanic Black","    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Race/Ethnicity","Non-Hispanic Black","RACE","RACEBLK"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.7","14.7",,,"14.1","15.3","13,445",,,,"Non-Hispanic White","    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Race/Ethnicity","Non-Hispanic White","RACE","RACEWHT"
"2008","2008","AR","Arkansas","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","14.9","14.9",,,"14.5","15.4","25,003","Total",,,,"    (34.74865012400045, -92.27449074299966)","OWS","OWS1","Q040","VALUE","05","Total","Total","OVR","OVERALL"
"2008","2008","CA","California","Women, Infants, and Children Participant and Program Characteristics","Obesity / Weight Status","Obesity / Weight Status","Percent of WIC toddlers who have an overweight classification",,"Value","17.2","17.2",,,"17.0","17.4","199,786",,"24 - 35",,,"    (37.63864012300047, -120.99999953799971)","OWS","OWS1","Q040","VALUE","06","Age (months)","24 - 35","AGEMO","AGEMO2435"
